             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.151551551552E+01      0.569412014998E+15      0.593544081120E+15      0.618462820666E+15      0.593806305595E+15
     -0.151151151151E+01      0.576951625264E+15      0.600935028243E+15      0.625579965847E+15      0.601155539784E+15
     -0.150750750751E+01      0.584985244769E+15      0.608717854590E+15      0.632969508739E+15      0.608890869366E+15
     -0.150350350350E+01      0.593490471244E+15      0.616881775764E+15      0.640631875596E+15      0.617001374202E+15
     -0.149949949950E+01      0.602441979656E+15      0.625412065235E+15      0.648563539108E+15      0.625472528000E+15
     -0.149549549550E+01      0.611811384870E+15      0.634289767229E+15      0.656756898104E+15      0.634286016734E+15
     -0.149149149149E+01      0.621566986214E+15      0.643491422096E+15      0.665200020569E+15      0.643419476293E+15
     -0.148748748749E+01      0.631673427017E+15      0.652988839848E+15      0.673876250747E+15      0.652846172537E+15
     -0.148348348348E+01      0.642091311550E+15      0.662748940822E+15      0.682763728516E+15      0.662534660296E+15
     -0.147947947948E+01      0.652776837647E+15      0.672733677376E+15      0.691834914628E+15      0.672448476551E+15
     -0.147547547548E+01      0.663681524678E+15      0.682900061038E+15      0.701056249401E+15      0.682545945039E+15
     -0.147147147147E+01      0.674752135564E+15      0.693200338646E+15      0.710388084731E+15      0.692780186314E+15
     -0.146746746747E+01      0.685930896087E+15      0.703582374553E+15      0.719785011514E+15      0.703099427385E+15
     -0.146346346346E+01      0.697156093503E+15      0.713990291046E+15      0.729196654007E+15      0.713447679518E+15
     -0.145945945946E+01      0.708363086865E+15      0.724365392027E+15      0.738568925852E+15      0.723765801581E+15
     -0.145545545546E+01      0.719485693020E+15      0.734647354517E+15      0.747845655804E+15      0.733992901114E+15
     -0.145145145145E+01      0.730457845735E+15      0.744775635037E+15      0.756970417786E+15      0.744067966186E+15
     -0.144744744745E+01      0.741215383578E+15      0.754691018062E+15      0.765888362496E+15      0.753931588045E+15
     -0.144344344344E+01      0.751697818959E+15      0.764337234415E+15      0.774547860385E+15      0.763527637920E+15
     -0.143943943944E+01      0.761849972886E+15      0.773662587785E+15      0.782901827573E+15      0.772804796081E+15
     -0.143543543544E+01      0.771623408442E+15      0.782621529142E+15      0.790908699961E+15      0.781717879182E+15
     -0.143143143143E+01      0.780977635045E+15      0.791176099172E+15      0.798533117203E+15      0.790228950473E+15
     -0.142742742743E+01      0.789881067519E+15      0.799297121734E+15      0.805746444506E+15      0.798308211253E+15
     -0.142342342342E+01      0.798311708063E+15      0.806964998964E+15      0.812527271016E+15      0.805934659348E+15
