  #energy          xx             yy              zz              xy              yz              zx
  0.18410000E+01  0.31928193E+01  0.31928193E+01  0.31928193E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18548000E+01  0.32021281E+01  0.32021281E+01  0.32021281E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18685000E+01  0.32115039E+01  0.32115039E+01  0.32115039E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18823000E+01  0.32210972E+01  0.32210972E+01  0.32210972E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18960000E+01  0.32307499E+01  0.32307499E+01  0.32307499E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19097000E+01  0.32405585E+01  0.32405585E+01  0.32405585E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19235000E+01  0.32506239E+01  0.32506239E+01  0.32506239E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19372000E+01  0.32607741E+01  0.32607741E+01  0.32607741E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19510000E+01  0.32711682E+01  0.32711682E+01  0.32711682E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19647000E+01  0.32816272E+01  0.32816272E+01  0.32816272E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19785000E+01  0.32923051E+01  0.32923051E+01  0.32923051E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19922000E+01  0.33029958E+01  0.33029958E+01  0.33029958E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20060000E+01  0.33138305E+01  0.33138305E+01  0.33138305E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20197000E+01  0.33245560E+01  0.33245560E+01  0.33245560E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20335000E+01  0.33352543E+01  0.33352543E+01  0.33352543E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20472000E+01  0.33455992E+01  0.33455992E+01  0.33455992E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20610000E+01  0.33555784E+01  0.33555784E+01  0.33555784E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20747000E+01  0.33647364E+01  0.33647364E+01  0.33647364E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20884000E+01  0.33729172E+01  0.33729172E+01  0.33729172E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
