#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 364  36
# Band-Index    1
   2.71721    -13.769129     0.000
   2.72733    -13.720015     0.000
   2.73745    -13.671858     0.000
   2.74758    -13.624861     0.000
   2.75770    -13.579220     0.000
   2.76782    -13.535195     0.000
   2.77795    -13.493058     0.000
   2.78807    -13.453143     0.000
   2.79819    -13.415788     0.000
   2.80831    -13.381389     0.000
   2.81844    -13.350349     0.000
   2.82856    -13.323100     0.000
   2.83868    -13.300061     0.000
   2.84881    -13.281658     0.000
   2.85893    -13.268215     0.000
   2.86905    -13.260026     0.000
   2.87918    -13.257276     0.000
   2.87918    -13.257276     0.000
   2.88933    -13.257011     0.000
   2.89948    -13.256216     0.000
   2.90963    -13.254893     0.000
   2.91978    -13.253040     0.000
   2.92993    -13.250652     0.000
   2.94008    -13.247743     0.000
   2.95023    -13.244302     0.000
   2.96038    -13.240327     0.000
   2.97053    -13.235830     0.000
   2.98069    -13.230800     0.000
   2.99084    -13.225225     0.000
   3.00099    -13.219136     0.000
   3.01114    -13.212517     0.000
   3.02129    -13.205368     0.000
   3.03144    -13.197691     0.000
   3.04159    -13.189484     0.000
   3.05174    -13.180747     0.000
   3.06189    -13.171481     0.000
   3.07204    -13.161692     0.000
   3.08219    -13.151377     0.000
   3.09235    -13.140530     0.000
   3.10250    -13.129154     0.000
   3.11265    -13.117249     0.000
   3.12280    -13.104815     0.000
   3.13295    -13.091854     0.000
   3.14310    -13.078365     0.000
   3.15325    -13.064349     0.000
   3.16340    -13.049813     0.000
   3.17355    -13.034742     0.000
   3.18370    -13.019147     0.000
   3.19386    -13.003022     0.000
   3.20401    -12.986370     0.000
   3.21416    -12.969200     0.000
   3.22431    -12.951496     0.000
   3.23446    -12.933266     0.000
   3.24461    -12.914510     0.000
   3.25476    -12.895224     0.000
   3.26491    -12.875417     0.000
   3.27506    -12.855093     0.000
   3.28521    -12.834237     0.000
   3.29536    -12.812864     0.000
   3.30552    -12.790972     0.000
   3.31567    -12.768545     0.000
   3.32582    -12.745592     0.000
   3.33597    -12.722116     0.000
   3.34612    -12.698118     0.000
   3.35627    -12.673597     0.000
   3.36642    -12.648553     0.000
   3.37657    -12.623002     0.000
   3.38672    -12.596915     0.000
   3.39687    -12.570302     0.000
   3.40703    -12.543171     0.000
