   #Energy      xx(%)           yy(%)
   3.676      0.9299E+02      0.9299E+02
   3.695      0.9286E+02      0.9286E+02
   3.713      0.9272E+02      0.9272E+02
   3.731      0.9259E+02      0.9259E+02
   3.750      0.9245E+02      0.9245E+02
   3.768      0.9231E+02      0.9231E+02
   3.786      0.9216E+02      0.9216E+02
   3.804      0.9202E+02      0.9202E+02
   3.823      0.9188E+02      0.9188E+02
   3.841      0.9175E+02      0.9175E+02
   3.859      0.9162E+02      0.9162E+02
   3.878      0.9149E+02      0.9149E+02
   3.896      0.9138E+02      0.9138E+02
   3.914      0.9128E+02      0.9128E+02
   3.933      0.9119E+02      0.9119E+02
   3.951      0.9112E+02      0.9112E+02
   3.969      0.9107E+02      0.9107E+02
   3.987      0.9103E+02      0.9103E+02
   4.006      0.9101E+02      0.9101E+02
   4.024      0.9102E+02      0.9102E+02
   4.042      0.9105E+02      0.9105E+02
   4.061      0.9109E+02      0.9109E+02
   4.079      0.9116E+02      0.9116E+02
   4.097      0.9125E+02      0.9125E+02
   4.115      0.9135E+02      0.9135E+02
   4.134      0.9147E+02      0.9147E+02
   4.152      0.9160E+02      0.9160E+02
   4.170      0.9175E+02      0.9175E+02
   4.189      0.9190E+02      0.9190E+02
   4.207      0.9207E+02      0.9207E+02
   4.225      0.9224E+02      0.9224E+02
   4.243      0.9241E+02      0.9241E+02
   4.262      0.9259E+02      0.9259E+02
   4.280      0.9276E+02      0.9276E+02
   4.298      0.9294E+02      0.9294E+02
   4.317      0.9311E+02      0.9311E+02
   4.335      0.9328E+02      0.9328E+02
   4.353      0.9345E+02      0.9345E+02
   4.372      0.9361E+02      0.9361E+02
   4.390      0.9376E+02      0.9376E+02
   4.408      0.9392E+02      0.9392E+02
   4.426      0.9406E+02      0.9406E+02
   4.445      0.9420E+02      0.9420E+02
   4.463      0.9433E+02      0.9433E+02
   4.481      0.9446E+02      0.9446E+02
   4.500      0.9459E+02      0.9459E+02
   4.518      0.9471E+02      0.9471E+02
   4.536      0.9482E+02      0.9482E+02
   4.554      0.9493E+02      0.9493E+02
   4.573      0.9504E+02      0.9504E+02
   4.591      0.9514E+02      0.9514E+02
   4.609      0.9524E+02      0.9524E+02
   4.628      0.9534E+02      0.9534E+02
   4.646      0.9543E+02      0.9543E+02
   4.664      0.9552E+02      0.9552E+02
   4.682      0.9560E+02      0.9560E+02
